reviewId,userName,content,score,thumbsUpCount,appVersion,at
gp_5016198310,grace.t,Ugh. ordered greek from Mama Rosa for movie night and it arrived in 36 minutes. Cheaper than the others too.,4,0,4.2.0,11/09/2026 06:02
gp_5431104889,Lucia F.,My go-to app for Friday night takeaways 🍕,5,0,4.0.4,14/07/2026 17:48
gp_9454839930,sofia_b52,"Five stars, no notes Please look into it.",4,0,4.1.2,03/08/2026 08:00
gp_9993177343,Freya R.,"Just so you know, Big fan. Please add more restaurants in Leeds though.",5,0,4.0.4,02/07/2026 19:27
gp_2891793351,Rob L.,🔥🔥🔥,5,3,4.0.4,17/07/2026 21:20
gp_9782362852,alfie_v19,"Quick vegan bowls on Friday, arrived early. Big fan.",5,0,4.0.4,17/07/2026 01:40
gp_4974956958,Lukas K.,"Ugh. Five stars, no notes Sort it please.",5,7,4.0.4,08/07/2026 09:20
gp_8526634258,keira_k11,.,3,0,4.0.4,24/06/2026 15:12
gp_2818307344,sofia_b52,"Quick, reliable, great support when something goes wrong Sort it please.",4,0,4.0.4,30/06/2026 20:09
gp_7482629436,theo_i30,"Decent app, a bit slow sometimes !!",3,15,4.0.4,07/07/2026 06:25
gp_6112355155,ella_n16,It's fine. Does the job 😤,3,1,4.1.2,17/08/2026 15:16
gp_1879517836,Anna O.,Any chance of a shared cart? We order for the whole office every Friday 😩,4,1,4.2.0,06/09/2026 14:25
gp_6558986881,George E.,Found Burger Barn on here and it's now our regular. Driver was lovely.,5,0,4.2.0,02/09/2026 13:28
gp_9625522564,hugo1990,20 orders in and not a single problem. Exactly what a delivery app should be.,5,0,4.0.4,19/07/2026 02:38
gp_2393727379,alfiex449,Found Wing Kings on here and it's now our regular. So easy.,5,0,4.1.0,21/07/2026 21:09
gp_1726455011,alfie_d69,Can I order for pickup instead of delivery?,5,2,4.1.0,26/08/2026 03:06
gp_2324653985,Hannah E.,The app force closes immediately on my Pixel.,3,15,4.2.1,13/09/2026 05:39
gp_6372734694,amara_o23,So many restaurants near me that I didn't know existed.,4,0,4.0.3,09/07/2026 04:58
gp_9888514379,keira1990,29 orders in and not a single problem. Big fan Sort it please.,5,7,4.1.2,30/08/2026 19:08
gp_7988504387,arjun1984,Quick one: found Curry Leaf on here and it's now our regular. Brilliant.,5,0,4.1.2,25/08/2026 18:53
gp_6244358193,Layla V.,found Bao House on here and it's now our regular. Zero complaints,5,0,4.0.3,15/06/2026 19:07
gp_5171336708,hannah1997,Found Burger Barn on here and it's now our regular. Never lets me down.,4,3,4.0.3,23/06/2026 22:03
gp_4048359018,elena_n40,"Honestly, Amazing. Thank you.",5,3,4.1.2,09/08/2026 06:39
gp_9135705579,will.c,"Easy to use even for my mum, which says a lot",5,15,4.0.3,19/07/2026 00:36
gp_2940497840,Arjun F.,"So, quick, reliable, great support when something goes wrong.",5,3,4.2.0,11/09/2026 15:27
gp_5738967614,callumx610,"Quick vegan bowls on Friday, arrived early. Love it.",4,2,4.0.3,26/06/2026 08:51
gp_2622773830,ravi.f,Love this app but the new version won't let me pay. my partner's phone is still on the old version and it works fine there.,5,4,4.2.1,08/09/2026 15:26
gp_3181276317,tara_983,been using PapaEats for 11 months now... So easy,4,2,4.0.3,19/07/2026 04:06
gp_8121356705,Isla W.,Ordered indian for the whole family after work. Keep it up.,5,0,4.0.3,16/06/2026 17:39
gp_9297134758,Marcus J.,"Okay app, delivery fees are a bit high !!",3,7,4.0.4,16/06/2026 14:31
gp_1418003917,Josh N.,Ordered kebab for the whole family yesterday. Big fan.,4,7,4.0.3,15/06/2026 03:31
gp_1291121224,Hannah R.,Ordered thai from Mama Rosa last night and it arrived in 36 minutes. Keep it up.,5,0,4.0.4,17/07/2026 15:05
gp_2923359826,anya1980,Can I pay with PayPal?,4,0,4.1.2,02/08/2026 12:17
gp_9804598429,camille.l,30 orders in and not a single problem. Exactly what a delivery app should be.,5,0,4.2.1,09/09/2026 20:04
gp_9459073107,layla70,"So, Perfect every time.",5,15,4.1.2,05/08/2026 05:17
gp_7524823104,keira485,friday night fried chicken sorted in about 40 minutes. keep it up.,4,2,4.2.0,06/09/2026 11:20
gp_8985185660,Diego J.,Is there a family account option? 😤,3,2,4.1.0,20/08/2026 03:45
gp_4825606167,mateo.l,"Just so you know, Second time my order has gone to the wrong address. Disappointed.",3,0,4.2.1,13/09/2026 00:00
gp_5738967614,callumx610,"Quick vegan bowls on Friday, arrived early. Love it.",4,2,4.0.3,26/06/2026 08:51
gp_5580874423,Oliver T.,Really nice app. Payment is quick and I like the receipts Cheers.,5,0,4.0.3,19/06/2026 08:19
gp_6103578149,Oliver D.,Been using PapaEats for 6 months now. Five stars Thanks.,4,2,4.0.3,04/07/2026 19:13
gp_4406804308,hannah_m46,Ordered greek for the whole family last night. Brilliant Please look into it.,5,0,4.2.0,07/09/2026 00:33
gp_6032863194,lucia.f,Istanbul Grill through this app on Sunday. 40 minutes door to door. Keep it up.,5,0,4.1.0,25/08/2026 12:54
gp_5832761917,Meera Z.,Wrong order delivered. Got someone's fried chicken instead of my greek. Won't be ordering again.,2,2,4.2.0,02/09/2026 17:57
gp_3281679094,tom_m81,"Quick greek on Friday, arrived early. Exactly what a delivery app should be Cheers.",5,7,4.1.2,22/07/2026 11:08
gp_1835091119,sarax899,Map tracking doesn't update. ETA said 5 mins for half an hour.,2,3,4.2.0,06/09/2026 23:41
gp_7531946428,Leah A.,Friday night greek sorted in about 34 minutes. Brilliant.,5,2,4.0.3,02/07/2026 07:54
gp_9062787787,josh.p,Friday night tacos sorted in about 33 minutes. Driver was lovely.,5,0,4.1.2,22/07/2026 03:46
gp_6610223772,ella_b89,Not sure if anyone reads these but poke Bros through this app last night. 21 minutes door to door. Exactly what a delivery app should be Thx,5,2,4.1.0,21/08/2026 22:51
gp_7648591997,priya1980,Great selection of local restaurants. Five stars.,4,0,4.0.4,25/06/2026 16:20
gp_4266879426,ethan.e,great app 👍,5,3,4.1.0,30/08/2026 23:52
gp_1798020960,priya_b44,Order was 91 minutes late with no updates. Not impressed.,1,0,4.1.2,15/08/2026 21:52
gp_2384895198,isla_o13,"Been using PapaEats for a year, never lets me down Please look into it.",5,15,4.1.2,27/08/2026 13:40
gp_3392699489,Jake O.,ETA said 25 mins. Took 51,1,15,4.0.3,12/07/2026 08:25
gp_9380859857,sofia_280,my go-to app for Friday night takeaways 🍕,5,3,4.0.3,10/07/2026 19:00
gp_2777100457,Pierre P.,34 orders in and not a single problem. Never lets me down,5,15,4.1.2,31/07/2026 21:06
gp_4710637160,jess1983,friday night pasta sorted in about 40 minutes. Brilliant.,5,0,4.0.3,19/07/2026 09:33
gp_9986530535,Anna F.,Been using PapaEats for 10 months now. Best delivery app I've used.,5,1,4.1.2,28/08/2026 01:05
gp_6524459537,grace_k31,Found Wing Kings on here and it's now our regular. 10/10,5,3,4.1.2,21/07/2026 03:44
gp_1306843570,gary_the_great,Why did you change the icon colour? Nobody asked for this.,1,0,4.1.0,14/08/2026 09:00
gp_2601445701,finn1982,friday night vegan bowls sorted in about 38 minutes. 10/10 Please look into it.,5,0,4.1.2,19/08/2026 13:36
gp_7324442833,theo.k,Ordered pho for the whole family on Sunday. Keep it up,4,0,4.2.0,12/09/2026 23:52
gp_2131223658,joshx299,Mama Rosa through this app last night. 32 minutes door to door. Keep it up,5,7,4.2.0,04/09/2026 12:59
gp_5529105757,ivy.a,Big fan. Please add more restaurants in Leeds though.,5,15,4.0.3,03/07/2026 14:15
gp_9610867380,Priya W.,How do I contact the driver?,4,2,4.0.3,18/06/2026 04:45
gp_6132666951,lucia.j,Friday night pho sorted in about 32 minutes. Five stars.,5,2,4.0.3,11/07/2026 07:23
gp_4015644253,luke_o46,So good 😍 !!,5,15,4.1.0,12/08/2026 14:40
gp_5753486110,louis_h54,10/10 would recommend !!,5,1,4.1.2,31/07/2026 03:12
gp_9799058406,will_w86,"Easy to use even for my mum, which says a lot.",4,7,4.2.1,08/09/2026 19:31
gp_6621706904,Noah H.,"Not sure if anyone reads these but Quick poke for the match, arrived early. The tracking is spot on Love the app otherwise.",5,0,4.2.0,03/09/2026 22:38
gp_2511409406,sofia_h10,Ordered indian from The Pie Shop for the match and it arrived in 24 minutes. Big fan.,5,3,4.2.0,06/09/2026 12:50
gp_2261277691,louis_l71,This app has replaced cooking in my house Anyone else?,5,0,4.1.0,01/08/2026 06:14
gp_9659259570,Camille L.,"hi, ordered pho for the whole family for the match. five stars.",5,0,4.0.4,17/06/2026 18:33
gp_9597806535,maya_r6,.,1,7,4.0.3,10/07/2026 20:04
gp_5050186098,ravi1994,Why is the service fee different at different restaurants?,5,7,4.1.2,24/07/2026 16:38
gp_1318851833,Grace Z.,Food arrived cold. 91 minutes for a 20 minute delivery. Come on Please look into it.,3,1,4.2.0,12/09/2026 11:50
gp_7201050925,luke1987,Big fan. Please add more restaurants in Leeds though.,4,2,4.1.2,10/08/2026 00:41
gp_4740176476,jess.g,Better than the big apps for my area. Way more choice.,5,3,4.1.2,02/08/2026 03:23
gp_5443943086,freya_w95,"Just so you know, just works. Love the live tracking.",5,15,4.1.2,14/08/2026 00:00
gp_2166907164,kenji_r74,Ordered sushi for the whole family yesterday. So easy.,5,15,4.1.2,20/08/2026 21:51
gp_7901804302,diego.l,"So, Quick kebab at lunch, arrived early. Reordering is two taps.",5,3,4.1.2,26/08/2026 00:28
gp_5407871473,george.e,"hi, customer support sorted my missing item in five minutes. impressed.",4,1,4.2.0,07/09/2026 01:38
gp_7690338829,Aaron R.,Food arrived cold. 89 minutes for a 20 minute delivery. Come on.,1,3,4.1.2,14/08/2026 23:19
gp_3532927334,max1986,Just works. Love the live tracking.,5,1,4.1.0,22/07/2026 21:04
gp_6351830451,Mateo K.,Cheaper than the other apps and better restaurants.,5,0,4.1.0,06/08/2026 03:23
gp_2902865667,callum_939,"Honestly, Found Istanbul Grill on here and it's now our regular. Brilliant.",4,7,4.1.2,31/07/2026 14:07
gp_5060606580,Marcus H.,yum 😩,5,7,4.1.0,01/08/2026 18:45
gp_7441257687,anna_z1,"Easy to use even for my mum, which says a lot.",5,0,4.1.2,26/07/2026 20:15
gp_8204133377,sofia1980,"Hi, quick, reliable, great support when something goes wrong.",5,7,4.0.4,01/07/2026 01:54
gp_5624467774,will_s56,Ordered kebab for the whole family yesterday. Best delivery app I've used Sort it please.,5,0,4.0.4,30/06/2026 19:00
gp_7733502888,Elena S.,been using PapaEats for 6 months now. Would recommend.,5,2,4.0.3,17/06/2026 23:09
gp_9229788024,will_z7,works well most of the time,3,1,4.1.2,31/08/2026 01:02
gp_5946783290,Freyax V.,"average. Nothing special, nothing terrible.",3,2,4.0.3,03/07/2026 16:54
gp_6498986017,yasmin_i13,"So, so many restaurants near me that I didn't know existed !!",5,0,4.1.2,16/08/2026 19:56
gp_1827168664,dan_125,Right. great selection of local restaurants. Five stars.,5,0,4.0.4,19/07/2026 04:21
gp_7101118940,finn2002,Ordered fried chicken for the whole family last night... Driver was lovely.,5,0,4.0.3,05/07/2026 01:05
gp_3786787479,isla_n62,Ugh. fries were lukewarm and the burger was squashed. Third time this month.,2,0,4.0.4,12/07/2026 06:46
gp_3719583982,emma1989,The scheduled delivery feature is brilliant for office lunches,5,3,4.0.3,27/06/2026 00:10
gp_3893210660,Layla L.,'Something went wrong' at checkout. Every time. Since the update,1,22,4.2.0,06/09/2026 11:26
gp_6804958693,Finn W.,Best crypto signals free telegram @foodcoin,5,3,4.1.0,04/08/2026 09:40
gp_6668356021,yasmin.d,"Best food delivery app I've used. Fast, easy, and the tracking is great.",5,7,4.0.4,08/07/2026 10:22
gp_1036608063,anna2005,The app is so smooth. Reordering my usual takes two taps Anyone else?,4,7,4.0.3,07/07/2026 04:11
gp_3072891660,rosax598,Not sure if anyone reads these but Order was 89 minutes late with no updates. Come on,2,0,4.0.3,20/06/2026 13:38
gp_9890809544,tarax787,"Late, cold, and missing the sauce. Great.",2,3,4.1.2,25/08/2026 17:24
gp_2724812629,Lukas H.,Ordered vegan bowls for the whole family for the match. Food was hot. Perfect.,5,0,4.1.0,17/08/2026 12:05
gp_8968677152,callum_f10,fast delivery and the app never crashes. keep it up.,4,0,4.2.0,03/09/2026 15:24
gp_2201861743,Ben H.,The favourites feature is handy... Great app.,5,15,4.1.0,24/08/2026 15:19
gp_6506240251,gary_the_great,Day 4 of asking for the red icon back.,1,3,4.1.2,19/08/2026 09:00
gp_1955466961,Dan D.,"Just so you know, absolutely brilliant. Ordered at 7, ate at 7:25",5,0,4.0.4,07/07/2026 06:13
gp_8450355695,rob_v6,second time my order has gone to the wrong address. won't be ordering again.,2,0,4.2.0,11/09/2026 15:10
gp_2979614961,Hannah W.,Taco Loco through this app after work. 37 minutes door to door. Would recommend Love the app otherwise.,4,0,4.0.4,11/07/2026 07:30
gp_5659083075,Mia E.,Been using PapaEats for 12 months now. Five stars.,4,2,4.0.4,25/06/2026 19:30
gp_4327734952,lucia.c,"Quick pizza last night, arrived early. Brilliant 😩",5,0,4.1.2,30/08/2026 04:13
gp_9641580459,Zara Z.,so many restaurants near me that I didn't know existed Love the app otherwise.,5,1,4.2.1,12/09/2026 09:28
gp_5756673603,Arjun L.,Ordered poke from Sakura yesterday and it arrived in 22 minutes... Driver was lovely.,4,0,4.0.3,17/07/2026 01:42
gp_6787497872,callumx610,"Quick one: Quick tacos for the match, arrived early. The tracking is spot on Cheers.",5,3,4.0.4,05/07/2026 03:37
gp_5357535020,Louis L.,"So, 10/10 would recommend",5,0,4.1.0,17/08/2026 19:03
gp_6384337298,dan_629,36 orders in and not a single problem... Driver was lovely Please look into it.,4,1,4.1.2,28/07/2026 05:33
gp_3104931479,Keira K.,"Honestly, This app has replaced cooking in my house Sort it please.",4,0,4.0.3,30/06/2026 14:02
gp_6142546170,mateo_s49,So many restaurants near me that I didn't know existed.,5,15,4.1.2,16/08/2026 09:01
gp_5313240729,yasmin1999,"Been using PapaEats for a year, never lets me down.",4,0,4.0.4,17/07/2026 06:26
gp_2314844703,lucia619,The reorder button is genius.,4,3,4.0.3,12/07/2026 22:56
gp_8506545042,Leah W.,driver was rude and basically threw the bag at the door. Not impressed 😤,3,15,4.2.1,12/09/2026 01:16
gp_4668190456,anya_p96,"Quick indian for the match, arrived early. Five stars.",5,3,4.0.3,24/06/2026 18:10
gp_8999097516,Sam I.,"Clean design, easy to use, food always on time.",5,1,4.0.4,17/07/2026 10:41
gp_3979810096,will_b34,10/10 would recommend,5,1,4.1.2,03/08/2026 18:14
gp_4460341109,aaron_m65,Been using PapaEats for 12 months now. Food was hot. Perfect Sort it please.,5,0,4.1.2,24/08/2026 13:33
gp_4833049167,Ella M.,Friday night indian sorted in about 40 minutes. Driver was lovely Love the app otherwise.,5,3,4.1.0,19/08/2026 13:10
gp_7601420330,sam1996,"Been using PapaEats for a year, never lets me down",5,0,4.0.4,30/06/2026 03:15
gp_8956787938,ninax652,The scheduled delivery feature is brilliant for office lunches.,5,7,4.0.3,06/07/2026 17:32
gp_9237881150,aisha.k,"So, So good 😍 Cheers.",5,2,4.0.3,13/07/2026 01:16
gp_7472708864,tom_n35,Good enough !!,3,0,4.0.4,29/06/2026 16:09
gp_3415586489,oliver_h54,Right. the app is so smooth. Reordering my usual takes two taps,5,15,4.1.0,01/08/2026 19:16
gp_2214131980,Rosax K.,Ordered pizza for the whole family on Sunday. Keep it up.,4,15,4.0.3,06/07/2026 10:25
gp_5270260941,omar_735,"Honestly, quick, reliable, great support when something goes wrong.",5,7,4.1.2,09/08/2026 22:41
gp_5111366466,tom415,"Quick, reliable, great support when something goes wrong.",4,0,4.0.4,23/06/2026 02:27
gp_6908504342,fatima_l70,"Right. Quick burgers for movie night, arrived early. Great selection round here.",5,3,4.0.4,30/06/2026 07:49
gp_3856763483,zara1998,Promo code WELCOME20 says applied but the discount isn't taken off the total.,2,15,4.2.0,06/09/2026 14:41
gp_8854432785,Louis I.,"Just so you know, so many restaurants near me that I didn't know existed !!",5,0,4.1.2,28/08/2026 07:11
gp_6325655734,layla1992,FYI big fan. Please add more restaurants in Leeds though.,5,3,4.2.1,09/09/2026 08:47
gp_7348816268,Luke O.,The refund for my missing items took 8 days.,1,2,4.1.0,22/08/2026 07:46
gp_7288299446,mateo1998,"Hi, the promo codes are generous and actually work for me.",4,7,4.2.0,31/08/2026 13:38
gp_6666504835,ethan_l78,driver left the food at the wrong building. sort it out 😩,1,15,4.2.0,05/09/2026 22:44
gp_8691227760,hannah_556,Found Pho 24 on here and it's now our regular. 10/10.,5,0,4.1.2,01/08/2026 01:28
gp_2812698805,gary_the_great,Orange icon looks like a traffic cone. Please change it.,1,1,4.1.2,19/08/2026 09:00
gp_7073973467,Rob L.,"love the app, just wish we could split payment",5,0,4.0.4,08/07/2026 01:29
gp_4498701485,Zara E.,Not sure if anyone reads these but been using PapaEats for 14 months now. Never lets me down Anyone else?,5,2,4.0.4,03/07/2026 21:17
gp_2952399654,dan1997,Not sure if anyone reads these but great app 👍 😩,5,15,4.1.2,20/08/2026 10:04
gp_3108517246,theo_i30,"honestly, the refund for my missing items took 8 days.",1,2,4.2.1,13/09/2026 18:53
gp_4049148840,lucia1995,Friday night indian sorted in about 26 minutes. Love it.,5,0,4.0.4,02/07/2026 08:30
gp_2810026529,Ravi C.,Not sure if anyone reads these but won't open at all on my samsung,1,1,4.2.1,11/09/2026 21:58
gp_2704504090,kai_m67,been using papaeats for 10 months now. keep it up thx,4,0,4.1.2,20/07/2026 04:43
gp_2821610653,max1999,Ugh. been using PapaEats for 4 months now. Cheaper than the others too 😩,5,0,4.0.3,24/06/2026 00:57
gp_7528442699,kai.r,Found Green Bowl on here and it's now our regular. Never lets me down.,5,0,4.0.4,29/06/2026 14:16
gp_1226358600,Mia P.,Not sure if anyone reads these but the app is so smooth. Reordering my usual takes two taps.,4,0,4.0.4,25/06/2026 13:10
gp_4717669398,zara1997,pho 24 through this app for the match. 35 minutes door to door. cheaper than the others too,5,2,4.2.0,31/08/2026 22:20
gp_7124347457,arjunx308,Second time my order has gone to the wrong address. Do better.,2,0,4.1.2,27/08/2026 08:22
gp_7248205931,omar_f37,food was cold and the drink was missing. Sort it out.,1,2,4.0.3,02/07/2026 06:44
gp_6622452518,will.h,"Ordered indian from Mama Rosa yesterday and it arrived in 28 minutes. Simple, fast, reliable.",5,0,4.1.2,02/08/2026 21:42
gp_6138063256,lucia.a,Found Pho 24 on here and it's now our regular. Would recommend.,5,0,4.0.4,13/07/2026 06:39
gp_7215945939,nina_b86,yum !!,5,0,4.1.0,18/08/2026 10:45
gp_1609558051,lukas1983,"Hi, delivery drivers are always friendly. Great app Anyone else?",4,0,4.1.0,22/08/2026 19:23
gp_1082281707,rosax899,ordered tacos from pho 24 for the match and it arrived in 26 minutes. the scheduled delivery thing is genius for the office.,5,0,4.0.4,12/07/2026 06:17
gp_6694399980,mateo_s73,"quick, reliable, great support when something goes wrong",4,2,4.1.0,18/08/2026 13:42
gp_5084363944,meera.c,Cheaper than the other apps and better restaurants.,5,0,4.1.2,20/07/2026 23:12
gp_1175601071,nina1995,Ordered kebab from The Pie Shop on Friday and it arrived in 21 minutes. So easy.,5,0,4.0.3,05/07/2026 18:26
gp_6281695786,freyax368,"Missing items, again. Paid for 3, got 2. Refund please Thanks.",1,15,4.0.3,04/07/2026 22:21
gp_1848279825,will_d54,Right. The refund for my missing items took 8 days. Disappointed.,3,1,4.2.0,04/09/2026 00:44
gp_4703254947,ben1985,Big fan. Please add more restaurants in Leeds though.,5,2,4.2.0,04/09/2026 19:21
gp_9801591774,callum_t56,"Hey team, yum Thanks.",5,15,4.1.2,28/07/2026 01:23
gp_8905031350,oliver.w,Quick one: the reorder button is genius.,5,0,4.0.4,11/07/2026 10:23
gp_3286740804,callum_n6,"Friday night fried chicken sorted in about 39 minutes. Simple, fast, reliable.",5,3,4.1.2,20/07/2026 22:45
gp_2721845485,Dan B.,Ordered pasta for the whole family on Sunday. Reordering is two taps Thanks.,4,7,4.1.0,25/07/2026 20:42
gp_6564891231,Diego H.,The Pie Shop through this app for the match. 23 minutes door to door. Best delivery app I've used Please look into it.,4,1,4.1.0,28/07/2026 06:04
gp_7152329891,Nadia F.,"Quick vegan bowls on Sunday, arrived early. Driver was lovely Please look into it.",5,0,4.2.1,11/09/2026 11:09
gp_6946068612,chloe_z81,"Found Taco Loco on here and it's now our regular. Simple, fast, reliable.",5,2,4.1.2,01/08/2026 16:17
gp_8652210596,josh324,"Ordered sushi for the whole family after work. Simple, fast, reliable.",5,7,4.0.4,21/06/2026 17:34
gp_6039787621,yuki39,"Quick, reliable, great support when something goes wrong.",5,0,4.1.2,21/07/2026 14:38
gp_9545663579,Kenji E.,Do you have a loyalty scheme?,5,7,4.1.2,08/08/2026 22:57
gp_9880633279,aaron1986,"Just so you know, delivery was early! Food was hot. Perfect Thx",5,0,4.0.3,06/07/2026 03:09
gp_9555855142,lucia449,yum,5,0,4.0.3,27/06/2026 12:22
gp_4246778219,hugo_l79,"Just so you know, Found Burger Barn on here and it's now our regular. Reordering is two taps.",5,3,4.0.3,11/07/2026 07:46
gp_2847472162,Priya W.,Ugh. The reorder button is genius.,4,2,4.1.0,12/08/2026 00:15
gp_5545104616,Isla O.,Driver was rude and basically threw teh bag at the door.,1,0,4.2.0,06/09/2026 02:18
gp_5351850734,george1996,Ordered kebab from Istanbul Grill for the match and it arrived in 25 minutes. Keep it up.,4,0,4.1.0,04/08/2026 19:13
gp_3090316731,alfie_p98,The reorder button is genius.,4,0,4.0.3,17/06/2026 18:15
gp_4024758327,isla235,"So, found Istanbul Grill on here and it's now our regular. Love it.",4,0,4.1.2,30/07/2026 07:09
gp_5347775122,keira_t8,Love it. Ordered in 30 seconds and the food came hot.,4,0,4.1.2,29/07/2026 17:29
gp_8132340947,nadia_o57,Quick one: Been using PapaEats for 14 months now. Cheaper than the others too.,5,15,4.0.3,24/06/2026 15:14
gp_6257543141,dan1990,"Honestly, fantastic service, the driver was lovely and the food was perfect 😩",5,0,4.1.2,29/07/2026 19:17
gp_9346390753,alfie1995,Can I tip after delivery? !!,4,2,4.0.3,24/06/2026 11:33
gp_5542722887,sofia_b52,love it,5,0,4.1.2,29/08/2026 17:27
gp_7288299446,mateo1998,"Hi, the promo codes are generous and actually work for me.",4,7,4.2.0,31/08/2026 13:38
gp_9922540286,Aisha N.,Ugh. 21 orders in and not a single problem. The scheduled delivery thing is genius for the office Anyone else?,5,15,4.0.4,23/06/2026 21:44
gp_6583069332,louis_g53,Curry Leaf through this app after work. 22 minutes door to door. 10/10 Cheers.,5,15,4.1.0,23/08/2026 14:06
gp_1164504900,lucia_f83,"Ordered thai from Bao House yesterday and it arrived in 24 minutes. Simple, fast, reliable.",4,0,4.1.0,28/08/2026 15:06
gp_7192992983,Diego E.,love it,5,3,4.1.0,01/08/2026 01:47
gp_1067604757,amara_e33,Right. The reorder button is genius.,5,2,4.0.3,21/06/2026 08:54
gp_9305036473,kai_w59,"Honestly, five stars, no notes.",5,0,4.0.4,18/07/2026 01:27
gp_4284852101,fatima_p10,Nice,1,0,4.1.2,30/07/2026 19:37
gp_3971158711,fatima1994,"Payment loops back to the cart. No error, no order, just the cart again.",1,4,4.2.0,05/09/2026 13:41
gp_7641124062,amara_i24,"Absolutely brilliant. Ordered at 7, ate at 7:25 Please look into it.",5,15,4.1.2,21/07/2026 15:23
gp_3130416629,amara_i24,Friday night greek sorted in about 34 minutes. Food was hot. Perfect.,4,0,4.0.4,28/06/2026 04:30
gp_6902999037,hugo1990,"Quick sushi at lunch, arrived early. Food was hot. Perfect.",5,2,4.0.4,24/06/2026 01:20
gp_6564891231,Diego H.,The Pie Shop through this app for the match. 23 minutes door to door. Best delivery app I've used Please look into it.,4,1,4.1.0,28/07/2026 06:04
gp_7201130113,amara.r,Ordered chinese for the whole family for the match. Exactly what a delivery app should be,5,1,4.0.4,15/06/2026 01:57
gp_8975906469,theo_g19,"Instant crash on startup... Reinstalled, cleared cache, still crashes Please look into it.",1,3,4.2.1,13/09/2026 08:32
gp_2440473181,will_d54,37 orders in and not a single problem. Driver was lovely.,4,0,4.0.3,18/07/2026 14:31
gp_2046523748,gary_the_great,Update: icon is still orange. Rating stays 1 star until it's fixed.,1,2,4.2.1,08/09/2026 09:00
gp_4786662896,adam1981,great app 👍 Sort it please.,5,0,4.1.0,12/08/2026 00:15
gp_6047202553,kenji_f91,Found Green Bowl on here and it's now our regular. Never lets me down.,5,0,4.0.3,06/07/2026 05:05
gp_9891878742,Theo N.,Top tier app,5,0,4.2.0,08/09/2026 13:04
gp_1823100326,adam.e,Not sure if anyone reads these but found Bao House on here and it's now our regular. Exactly what a delivery app should be 😩,4,15,4.1.2,10/08/2026 01:50
gp_3908457895,Omar G.,"Clean design, easy to use, food always on time.",5,3,4.1.0,08/08/2026 20:13
gp_7202851315,jess.l,Wing Kings through this app on Friday. 20 minutes door to door. Best delivery app I've used.,5,7,4.1.0,28/07/2026 06:50
gp_6764553666,aaron.f,Driver left the food at the wrong building. Do better Sort it please.,2,2,4.2.0,08/09/2026 02:17
gp_6307378800,Harry P.,"Quick greek on Friday, arrived early... The scheduled delivery thing is genius for the office.",5,0,4.0.4,23/06/2026 06:56
gp_9694287528,alfie_j79,Wing Kings through this app for movie night. 23 minutes door to door. 10/10.,5,0,4.2.0,01/09/2026 21:56
gp_1237963173,Tara A.,CHEAP IPHONE 15 DM ME,5,0,4.1.2,20/08/2026 22:56
gp_4029408385,noah_h17,3 stars. Delivery fees add up.,3,3,4.0.3,17/06/2026 06:58
gp_7396054408,max_i5,"Honestly, Order tracking is frozen, can't tell if the driver is close.",1,0,4.1.2,20/07/2026 03:27
